Nama Produk;Kode Produk;Harga Jual;Harga Modal;Stok;Fee Reseller (%);Fee Affilator (%);Sort Order
CABE KERITING HIJAU 500 gr;PRD-0057;36500;12188;1000;10;5;38
CABE KERITING HIJAU 1 kg;PRD-0056;67000;24375;1000;10;5;39
CABE MERAH KERITING 100 gr;PRD-0044;10000;3510;1000;10;5;41
CABE MERAH KERITING 250 gr;PRD-0043;20000;8288;1000;10;5;42
CABE MERAH KERITING 500 gr;PRD-0042;36500;14625;1000;10;5;43
CABE MERAH KERITING 1 kg;PRD-0041;67000;29250;1000;10;5;44
CABE RAWIT HIJAU CAPLAK 100 gr;PRD-0049;9000;4095;1000;10;5;46
CABE RAWIT HIJAU CAPLAK 250 gr;PRD-0048;18000;9669;1000;10;5;47
CABE RAWIT HIJAU CAPLAK 500 gr;PRD-0047;33000;17063;1000;10;5;48
CABE RAWIT HIJAU CAPLAK 1 kg;PRD-0046;60000;34125;1000;10;5;49
CABE RAWIT MERAH ORI 100 gr;PRD-0039;12000;5850;1000;10;5;51
CABE RAWIT MERAH ORI 250 gr;PRD-0038;25000;13813;1000;10;5;52
CABE RAWIT MERAH ORI 500 gr;PRD-0037;46000;24375;1000;10;5;53
CABE RAWIT MERAH ORI 1 kg;PRD-0036;86000;48750;1000;10;5;54
CABE HIJAU BESAR 100 gr;PRD-0054;8000;2925;1000;10;5;56
CABE HIJAU BESAR 250 gr;PRD-0053;14000;6906;1000;10;5;57
CABE HIJAU BESAR 500 gr;PRD-0052;25500;12188;1000;10;5;58
CABE HIJAU BESAR 1 kg;PRD-0051;45000;24375;1000;10;5;59
DAUN JERUK 50 gr;PRD-0124;3000;1300;1000;10;5;61
DAUN JERUK 1 kg;PRD-0123;45000;29250;1000;10;5;62
DAUN MELINJO 100 gr;PRD-0069;2700;1755;1000;10;5;64
DAUN MELINJO 250 gr;PRD-0068;6375;4144;1000;10;5;65
DAUN MELINJO 500 gr;PRD-0067;11250;7313;1000;10;5;66
DAUN MELINJO 1 kg;PRD-0066;22500;14625;1000;10;5;67
JAGUNG BABY 250 gr;PRD-0182;8500;3868;1000;10;5;69
JAGUNG BABY 500 gr;PRD-0181;13500;6825;1000;10;5;70
JAGUNG BABY 1 kg;PRD-0180;21000;13650;1000;10;5;71
JAGUNG MANIS 1 PCS;PRD-0179;7000;2600;1000;10;5;73
JAHE GAJAH 100 gr;PRD-0156;2340;1521;1000;10;5;74
JAHE GAJAH 250 gr;PRD-0155;5525;3591;1000;10;5;75
JAHE GAJAH 500 gr;PRD-0154;9750;6338;1000;10;5;76
JAHE GAJAH 1 kg;PRD-0153;19500;12675;1000;10;5;77
KACANG PANJANG 100 gr;PRD-0106;2380;1547;1000;10;5;78
KACANG PANJANG 250 gr;PRD-0105;5950;3868;1000;10;5;79
KACANG PANJANG 500 gr;PRD-0104;10500;6825;1000;10;5;80
KACANG PANJANG 1 kg;PRD-0103;21000;13650;1000;10;5;81
KANGKUNG DARAT 1 IKET;PRD-0134;4000;2616;1000;10;5;82
KEMBANG KOL 250 gr;PRD-0102;6375;4144;1000;10;5;83
KEMBANG KOL 500 gr;PRD-0101;11250;7313;1000;10;5;84
KEMBANG KOL 1 kg;PRD-0100;22500;14625;1000;10;5;85
KENCUR 100 gr;PRD-0150;6300;4095;1000;10;5;86
KENCUR 1 kg;PRD-0149;63000;40950;1000;10;5;87
KENTANG DIENG 250 gr;PRD-0008;7500;3315;1000;10;5;95
KENTANG DIENG 500 gr;PRD-0007;13500;5850;1000;10;5;96
KENTANG DIENG 1 kg;PRD-0006;22000;11700;1000;10;5;97
KENTANG TO RENDANG 100 gr;PRD-0019;4000;819;1000;10;5;104
KENTANG TO RENDANG 250 gr;PRD-0018;7500;1934;1000;10;5;105
KENTANG TO RENDANG 500 gr;PRD-0017;10750;3413;1000;10;5;106
KENTANG TO RENDANG 1 kg;PRD-0016;17500;6825;1000;10;5;107
KERITING HIJAU 250 gr;PRD-0058;20000;6906;1000;10;5;108
KOL 250 gr;PRD-0073;7500;1381;1000;10;5;109
KOL 500 gr;PRD-0072;11500;2438;1000;10;5;110
KOL 1 kg;PRD-0071;17000;4875;1000;10;5;111
KUNYIT 100 gr;PRD-0147;1800;1170;1000;10;5;113
KUNYIT 250 gr;PRD-0146;4250;2763;1000;10;5;114
KUNYIT 500 gr;PRD-0145;7500;4875;1000;10;5;115
KUNYIT 1 kg;PRD-0144;15000;9750;1000;10;5;116
LABU BABY 250 gr;PRD-0093;5525;3591;1000;10;5;120
LABU BABY 500 gr;PRD-0092;9750;6338;1000;10;5;121
LABU BABY 1 kg;PRD-0091;19500;12675;1000;10;5;122
LABU BESAR 250 gr;PRD-0096;3400;2210;1000;10;5;123
LABU BESAR 500 gr;PRD-0095;6000;3900;1000;10;5;124
LABU BESAR 1 kg;PRD-0094;12000;7800;1000;10;5;125
LENGKUAS 100 gr;PRD-0142;900;585;1000;10;5;130
LENGKUAS 250 gr;PRD-0141;2125;1381;1000;10;5;131
LENGKUAS 500 gr;PRD-0140;3750;2438;1000;10;5;132
LENGKUAS 1 kg;PRD-0139;7500;4875;1000;10;5;133
MELINJO 100 gr;PRD-0064;4140;2691;1000;10;5;135
MELINJO 250 gr;PRD-0063;9775;6354;1000;10;5;136
MELINJO 500 gr;PRD-0062;17250;11213;1000;10;5;137
MELINJO 1 kg;PRD-0061;34500;22425;1000;10;5;138
PHOKCOY 100 gr;PRD-0133;5500;553;1000;10;5;139
PHOKCOY 250 gr;PRD-0132;9000;1381;1000;10;5;140
PHOKCOY 500 gr;PRD-0131;14500;2438;1000;10;5;141
PHOKCOY 1 kg;PRD-0130;23000;4875;1000;10;5;142
SAWI ASIN / SESIM 500 gr;PRD-0118;10500;1463;1000;10;5;144
SAWI ASIN / SESIM 1 kg;PRD-0117;17000;2925;1000;10;5;145
SAWI PUTIH 500 gr;PRD-0116;11500;2438;1000;10;5;146
SAWI PUTIH 1 kg;PRD-0115;17000;4875;1000;10;5;147
SELADA KERITING 250 gr;PRD-0122;11500;5525;1000;10;5;148
SELADA KERITING 500 gr;PRD-0121;18000;9750;1000;10;5;149
SELADA KERITING 1 kg;PRD-0120;30000;19500;1000;10;5;150
SELEDRY 100 gr;PRD-0176;5500;1755;1000;10;5;152
SELEDRY 250 gr;PRD-0175;8600;4144;1000;10;5;153
SELEDRY 500 gr;PRD-0174;14000;7313;1000;10;5;154
SELEDRY 1 kg;PRD-0173;22500;14625;1000;10;5;155
SEREH 100 gr;PRD-0138;5000;1437;1000;10;5;156
SEREH 250 gr;PRD-0137;8000;3591;1000;10;5;157
SEREH 500 gr;PRD-0136;13000;6338;1000;10;5;158
SEREH 1 kg;PRD-0135;19500;12675;1000;10;5;159
SINGKONG 500 gr;PRD-0185;4000;1463;1000;10;5;162
SINGKONG 1 kg;PRD-0184;7000;2925;1000;10;5;163
TERONG UNGU 250 gr;PRD-0078;8000;2072;1000;10;5;164
TERONG UNGU 500 gr;PRD-0077;11000;3656;1000;10;5;165
TERONG UNGU 1 kg;PRD-0076;18000;7800;1000;10;5;166
TIMUN 250 gr;PRD-0081;7500;3315;1000;10;5;167
TIMUN 500 gr;PRD-0080;12000;5850;1000;10;5;168
TIMUN 1 kg;PRD-0079;18000;11700;1000;10;5;169
TOMAT 100 gr;PRD-0024;4700;585;1000;10;5;174
TOMAT 250 gr;PRD-0023;7500;1381;1000;10;5;175
TOMAT 500 gr;PRD-0022;11500;2438;1000;10;5;176
TOMAT 1 kg;PRD-0021;17000;4875;1000;10;5;177
WORTEL BRASTAGY 250 gr;PRD-0109;7500;3315;1000;10;5;179
WORTEL BRASTAGY 500 gr;PRD-0108;11000;5850;1000;10;5;180
WORTEL BRASTAGY 1 kg;PRD-0107;18000;11700;1000;10;5;181
WORTEL LOKAL 250 gr;PRD-0113;7000;2763;1000;10;5;183
WORTEL LOKAL 500 gr;PRD-0112;9500;4875;1000;10;5;184
WORTEL LOKAL 1 kg;PRD-0111;15000;9750;1000;10;5;185
CABE MERAH BESAR 100 gr;PRD-0201;8000;3000;1000;10;5;187
CABE MERAH BESAR 250 gr;PRD-0202;14000;9000;1000;10;5;188
CABE MERAH BESAR 500 gr;PRD-0203;25500;15000;1000;10;5;189
CABE MERAH BESAR 1 kg;PRD-0204;45000;30000;1000;10;5;190
JERUK LIMO 100 gr;PRD-0205;5500;3500;1000;10;5;191
JERUK LIMO 250 gr;PRD-0206;13000;10000;1000;10;5;192
JERUK LIMO 500 gr;PRD-0207;22000;17500;1000;10;5;193
JERUK LIMO 1 kg;PRD-0208;42000;35000;1000;10;5;194
JERUK NIPIS 100 gr;PRD-0209;4000;2500;1000;10;5;195
JERUK NIPIS 250 gr;PRD-0210;9500;6500;1000;10;5;196
JERUK NIPIS 500 gr;PRD-0211;17000;12500;1000;10;5;197
JERUK NIPIS 1 kg;PRD-0212;32000;25000;1000;10;5;198
JERUK LEMON 100 gr;PRD-0213;6000;3500;1000;10;5;199
JERUK LEMON 250 gr;PRD-0214;14000;10000;1000;10;5;200
JERUK LEMON 500 gr;PRD-0215;24500;17500;1000;10;5;201
JERUK LEMON 1 kg;PRD-0216;47000;35000;1000;10;5;202
SAWI MANIS 500 gr;PRD-0218;8000;5000;1000;10;5;203
SAWI MANIS 1 kg;PRD-0219;15000;10000;1000;10;5;204
PAKET SAYUR SOP;PRD-0220;5000;2500;1000;10;5;186
